title,categories
깃헙 회의,학업;친목;업무
자료구조 과제 제출,학업
알고리즘 스터디 모임,학업;친목
백준 풀기,학업;학업;취미
백준 골드 찍기,학업;취미
운영체제 중간고사 공부 계획 세우기,학업;시험
졸업 프로젝트 아이디어 구상 및 주제 선정,학업
IT 기업 온라인 채용 설명회 참석,업무;학업
사이드 프로젝트 배포용 클라우드 서비스 결제,경제;정기 지출;학업
AWS 배포,학업;업무;경제
국가근로장학금 신청 서류 제출,경제;재무;학업
개발 동아리 정기 세미나 참석,친목;학업
노트북 쿨링팬 청소 및 서멀구리스 재도포,취미;가사
캡스톤 디자인 프로젝트 아이디어 회의,학업
깃허브 프로필 및 포트폴리오 정리,업무;학업
코딩 테스트 대비 프로그래머스 문제 풀이,업무;시험;학업
코테 준비하기,업무;시험;학업
월세 및 통신비 이체,정기 지출;경제
다음 학기 수강신청 계획 세우기,학업;예약
헌혈의 집 방문하여 헌혈하기,봉사;건강
라식 수술 상담 예약,건강;예약;미용
친구들과 보드게임 카페 방문,친목;취미
컴퓨터활용능력 1급 시험 접수,학업;시험;예약
중고 전공서적 판매글 올리기,구매;경제
토익 시험 성적 확인,시험;학업
지역 아동센터 코딩 교육 재능기부,봉사;학업
졸업요건 충족 여부 확인 및 상담,학업
중고 그래픽카드 커뮤니티에 판매하기,구매;경제
아이폰 당근하기,경제;취미;구매
라즈베리파이를 이용한 홈 서버 구축 프로젝트,학업;취미;구매
시댁 방문 및 김장 도와드리기,가족;봉사
동네 엄마들과 브런치 및 육아 정보 교류,친목
아이 유치원 학부모 참여수업 참석,가족;학업;친목
아이 예방접종,가족;건강
반려견 산책 및 동물병원 방문,반려 동물;건강
과제 채점하기,업무;학업;시험
발표대본 만들기,업무;학업;시험
발표 피피티 만들기,업무;학업;시험
발표 PPT 만들기,업무;학업;시험
중간고사 문제 출제하기,업무
전동 킥보드 주행 위반 과태료 납부,경제
애인과 커플 요금제 상담 및 변경,연애;통화;경제
교내 학생상담센터 심리 상담 예약,건강;치료;예약
부모님 스마트폰 데이터 백업 및 정리 도와드리기,가족;봉사
브랜드 협찬 제품 리뷰 영상 기획 및 스크립트 작성,업무;구매
구독자 이벤트 기획 및 경품 구매,업무;구매;친목
MCN 담당자와 수익 정산 및 채널 방향성 미팅,업무;재무;경제
프리랜서 종합소득세 신고를 위한 세무 상담,세금;재무;업무
새로운 컨셉의 프로필 사진 촬영을 위한 스튜디오 예약,업무;예약;미용
Q&A 콘텐츠를 위한 인스타그램 스토리 질문 받기,업무;친목
유튜브 라이브 스트리밍으로 구독자와 실시간 소통하기,업무;친목
악플로 인한 스트레스 관리를 위한 심리 상담,건강;치료
다른 크리에이터와 콜라보 콘텐츠 촬영 일정 조율,업무;친목;통화
콘텐츠 촬영용 차량 렌트 및 장소 헌팅,차량 관리;예약;업무
왓츠인마이백 콘텐츠를 위한 소품 준비,업무;구매
반려동물과 함께하는 일상 브이로그 촬영,반려 동물;업무
유기동물 보호소 홍보를 위한 재능기부 콘텐츠 제작,봉사;업무;반려 동물
수익금으로 부모님 선물 구매 및 식사 대접,가족;경제;구매
애인과 함께하는 커플 데이트 콘텐츠 촬영,연애;업무
해외 팬들을 위한 영상 자막 제작 의뢰,업무;경제
먹방 콘텐츠 후 체중 관리를 위한 필라테스 수업,건강;취미;업무
채널 성장을 위한 유튜브 알고리즘 스터디,업무;학업
제주도 한 달 살기 콘텐츠 촬영을 위한 숙소 및 항공권 예약,여행;업무;예약
메가로스쿨 LEET 전국 모의고사 응시,시험;학업
법률저널 LEET 전국 모의고사 응시,시험;학업
법저 전모 응시,시험;학업
모의고사 오답노트 정리 및 취약 유형 분석,학업;시험
LEET 논술 스터디 첨삭 및 토론,학업;시험;친목
토익익 정기시험 응시 및 목표 점수 달성 확인,시험;학업
로스쿨 자소서 초안 작성,학업;업무;통화
자소서 쓰기,업무;경제;학업
로스쿨 입시 면접 스터디,시험;학업;친목
LEET 원서 접수 및 전형료 결제,시험;구매;경제
리트 원서접수,시험;학업;경제;예약
피셋 원서접수,시험;학업;경제;예약
기출 풀기,시험;학업
진모 풀기,시험;학업
진모 오답,시험;학업
영양제 및 비타민 구매,건강;구매
추천서 작성을 위해 전공 교수님께 연락 및 면담 예약,학업;통화;예약
로스쿨 합격 후 학자금 대출 계획 알아보기,재무;경제;학업
스터디원들과 잠시 머리 식힐 겸 저녁 식사,친목
부모님께 수험 생활 근황 보고 전화,가족;통화
독서실 책상 정리 및 청소,가사
애인과 공부 후 잠깐 산책 데이트,연애;건강
로스쿨 면접용 정장 및 구두 구입,구매;업무;미용
공단기 행정법 기본이론 인강 수강,학업;정기 지출
전한길 한국사 필기노트 무한 회독,학업;시험
독서실 총무에게 아침 기상 스터디 신청,학업;친목;예약
국가직 9급 대비 학원 모의고사 응시 및 성적 확인,시험;학업
한국사능력검정시험 심화 원서 접수,시험;예약;학업
스터디원들과 노량진 컵밥으로 저녁 식사,친목
목 어깨 결림으로 정형외과 물리치료,건강;치료
슬럼프 극복을 위한 하루 완전 휴식 선언,휴식;건강
부모님께 용돈 받고 안부 전화드리기,가족;경제;통화
주말에 밀린 자취방 청소 및 빨래,가사
면접 대비용 스피치 학원 상담 예약,업무;학업;예약
이동기 영어 하프 모의고사 시간 재고 풀기,학업;시험
월 생활비 정산 및 다음 달 계획 세우기,경제;재무;가사
컴활 1급 따기기,학업;시험
결혼식 참석,친목;가족;경제;업무;가사;예약
면접 사진 촬영을 위한 이발 및 의상 준비,미용;업무;구매
본가에 있는 차량 자동차세 납부 고지서 확인,차량 관리;세금;경제
필기 합격 후 체력학원 등록 및 상담,건강;학업;업무
운전면허 갱신,차량 관리;업무;경제
애인과 도서관 앞에서 잠깐 만나 커피 마시기,연애
PSAT 자료해석 공부,학업
PSAT 상황판단 공부,학업
PSAT 언어이해 공부,학업
시대인재 재수종합반 의무 자습,학업;시험
현우진 뉴런 완강 목표 설정,학업
